subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,44300,269253,2379,43,1.3206
50j_10m,instance_10.csv,44113,250791,2065,43,0.9227
50j_10m,instance_2.csv,39515,238923,2143,46,0.9259
50j_10m,instance_3.csv,38113,226591,2013,41,0.9148
50j_10m,instance_4.csv,41397,250980,2145,41,0.9272
50j_10m,instance_5.csv,41045,230745,2284,43,0.9023
50j_10m,instance_6.csv,43661,241021,2270,44,0.8895
50j_10m,instance_7.csv,45794,269266,2251,44,0.9414
50j_10m,instance_8.csv,43248,269053,2235,44,0.7991
50j_10m,instance_9.csv,45846,259405,2340,43,0.8514
