subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,48465,207629,2550,41,1.0199
50j_10m,instance_10.csv,49153,202376,2573,44,0.9267
50j_10m,instance_2.csv,43691,200463,2330,44,0.8979
50j_10m,instance_3.csv,42515,177896,2226,41,0.9807
50j_10m,instance_4.csv,47529,216674,2543,42,0.9078
50j_10m,instance_5.csv,45690,183827,2422,42,0.9509
50j_10m,instance_6.csv,45511,188379,2465,40,0.9488
50j_10m,instance_7.csv,48901,215994,2523,44,0.8921
50j_10m,instance_8.csv,49913,227882,2631,44,0.8514
50j_10m,instance_9.csv,46458,196638,2494,43,0.8876
