Instance,Obj,Status,Gap (%),Time (h)
11,41811,FEASIBLE,32.15,24.00
13,36108,FEASIBLE,29.93,24.00
15,40182,FEASIBLE,34.09,24.00
18,41519,FEASIBLE,28.88,24.00
19,40988,FEASIBLE,29.14,24.00
20,40915,FEASIBLE,28.71,24.01
