Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,770,0,647,0,0
2,960,16,746,0,0
3,1080,106,803,0,0
4,1240,169,850,0,0
5,1314,242,943,0,0
6,624,0,978,354,1
7,1042,171,1042,0,0
8,1036,127,1121,85,1
9,990,106,1149,159,1
10,836,17,1262,426,1
11,1064,200,1358,294,1
12,874,64,1373,499,1
13,1138,297,1437,299,1
14,1186,739,1534,348,1
15,1068,224,1576,508,1
16,1154,319,1680,526,1
17,1282,885,1777,495,1
18,1166,807,1850,684,1
19,1226,903,1910,684,1
20,1030,223,1949,919,1
21,966,106,1997,1031,1
22,1100,1159,2006,906,1
23,848,17,2023,1175,1
24,1322,1280,2136,814,1
25,632,17,2146,1514,1
26,1062,288,2157,1095,1
27,1078,1384,2284,1206,1
28,1200,1455,2334,1134,1
29,978,198,2371,1393,1
30,836,53,2416,1580,1
31,806,86,2502,1696,1
32,1020,405,2510,1490,1
33,716,19,2560,1844,1
34,770,35,2626,1856,1
35,1056,1768,2745,1689,1
36,866,131,2767,1901,1
37,1258,1809,2822,1564,1
38,1354,1932,2889,1535,1
39,900,191,2962,2062,1
40,1122,2009,3086,1964,1
41,1258,2044,3121,1863,1
42,792,215,3208,2416,1
43,934,2110,3278,2344,1
44,920,2245,3341,2421,1
45,920,2252,3381,2461,1
46,1026,2514,3439,2413,1
47,1324,2618,3518,2194,1
48,818,2560,3584,2766,1
49,1156,3049,3681,2525,1
50,664,3119,3710,3046,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,60178,1.5518,0.00,60178.0,60178.0
