Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,1914,48.6793,1907,224.2826,2022,0.9278
2,1811,30.6634,1771,214.7783,1896,0.9953
3,1721,40.0897,1699,213.2116,1854,0.9156
4,1818,44.9406,1804,227.3172,1917,0.8914
5,1871,43.2936,1853,218.5374,1919,0.8618
6,1944,39.7021,1936,204.6321,2008,0.9275
7,1992,33.8813,1961,204.6603,2055,0.9748
8,1927,45.6623,1916,213.5776,1925,0.8835
9,1891,34.6171,1891,205.9569,2093,0.9351
10,1895,38.9629,1895,206.3021,1895,0.8733
