Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,37,30.5657,37,203.2168,36,1.2021
2,36,26.4432,35,203.9325,35,1.2048
3,37,26.8269,35,204.9397,34,1.267
4,36,28.2719,35,205.1269,36,1.2437
5,36,28.0645,36,203.8399,35,1.2668
6,37,27.5767,37,202.4088,35,1.3478
7,37,32.5745,36,204.1416,36,1.3841
8,38,29.8228,37,203.9464,37,1.2855
9,37,26.9613,36,203.5109,38,1.3905
10,36,35.6702,34,204.3256,35,1.1996
