instance,TT,status,gap(%),cpu(s)
1,4423,FEASIBLE,N/A,N/A
2,5657,FEASIBLE,N/A,N/A
3,4558,FEASIBLE,N/A,N/A
4,5129,FEASIBLE,N/A,N/A
5,4362,FEASIBLE,N/A,N/A
6,3592,FEASIBLE,N/A,N/A
7,4361,FEASIBLE,N/A,N/A
8,4323,FEASIBLE,N/A,N/A
9,4694,FEASIBLE,N/A,N/A
10,3988,FEASIBLE,N/A,N/A
