Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J2,466,4,0,233,0,0
J12,252,8,20,287,35,1
J6,320,10,33,305,0,0
J1,322,7,73,313,0,0
J17,412,2,107,396,0,0
J3,484,8,120,441,0,0
J18,578,8,177,477,0,0
J5,540,7,247,552,12,1
J16,598,5,309,650,52,1
J9,504,8,361,695,191,1
J19,752,6,370,787,35,1
J13,600,8,410,825,225,1
J15,566,6,488,889,323,1
J8,766,7,571,981,215,1
J11,504,4,665,992,488,1
J10,518,5,751,1087,569,1
J14,534,3,813,1135,601,1
J4,518,5,859,1190,672,1
J7,638,3,906,1253,615,1
J20,590,2,980,1312,722,1

TT,TWT,T_max,NT
4755,20854,722,14

Metric,Value
Objective optimized,TWT
Runtime (s),1.111039161682129
Iterations,10
d,10
Seed,42
