subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5430,24466,691,14,0.9064
20j_5m,instance_10.csv,4325,22031,585,15,1.2068
20j_5m,instance_2.csv,6440,33952,671,17,1.0734
20j_5m,instance_3.csv,5227,31907,617,15,1.0335
20j_5m,instance_4.csv,5872,35292,650,17,1.2144
20j_5m,instance_5.csv,4790,20057,655,14,0.8055
20j_5m,instance_6.csv,5139,29179,579,16,1.069
20j_5m,instance_7.csv,5016,31189,552,18,1.0283
20j_5m,instance_8.csv,5017,27820,563,16,1.1412
20j_5m,instance_9.csv,5456,34327,643,16,1.4394
