job,weight
1,7
2,4
3,8
4,5
5,7
6,10
7,3
8,7
9,8
10,5
11,4
12,8
13,8
14,3
15,6
16,5
17,2
18,8
19,6
20,2
21,5
22,1
23,10
24,6
25,9
26,1
27,10
28,3
29,7
30,4
31,9
32,3
33,5
34,3
35,7
36,5
37,9
38,7
39,2
40,4
41,9
42,2
43,10
44,9
45,10
46,5
47,2
48,4
49,7
50,8
