instance,n_jobs,n_machines,lb,ub,TT,total_ties,cpu_time_s,sequence
1,20,5,1232,1278,4570,0,40.000267,17 3 8 9 15 13 12 11 14 1 19 6 7 20 16 4 2 10 5 18
2,20,5,1290,1359,5879,0,40.000663,6 14 3 19 10 12 16 20 8 18 15 4 2 17 9 11 13 5 7 1
3,20,5,1073,1081,4741,0,40.000492,3 15 14 10 16 19 11 6 13 20 18 5 2 9 8 4 1 7 17 12
4,20,5,1268,1293,5123,0,40.000551,13 9 16 14 18 4 6 17 19 11 8 20 7 2 12 3 15 10 1 5
5,20,5,1198,1236,4351,0,40.000591,3 5 12 10 4 20 17 1 19 8 9 7 18 15 13 16 14 6 11 2
6,20,5,1180,1195,3645,0,40.000116,14 2 20 11 13 5 3 1 17 7 8 6 16 19 4 18 12 15 10 9
7,20,5,1226,1239,4333,0,40.001038,5 10 1 18 14 16 17 19 2 15 7 9 12 4 20 3 11 13 8 6
8,20,5,1170,1206,4166,0,40.000426,12 6 17 1 2 3 9 11 10 14 4 7 15 16 13 5 20 18 19 8
9,20,5,1206,1230,4975,0,40.000308,4 2 10 7 16 5 12 3 15 9 20 14 13 8 1 11 6 19 18 17
10,20,5,1082,1108,4097,0,40.00033,11 7 16 5 15 12 9 18 17 19 10 14 8 4 20 13 1 2 6 3
