Dataset,Instance,Status,TT,Temps (s),Gap (%),BestBound,Objective,Sequence
20j_5m,instance_10.csv,OPTIMAL,6506,0.3316,0.00,6506.0,6506.0,9 5 11 15 7 12 19 16 20 17 4 18 1 13 10 14 2 6 3 8
20j_5m,instance_2.csv,INFEASIBLE,,0.0491,,,,
20j_5m,instance_3.csv,INFEASIBLE,,0.0507,,,,
20j_5m,instance_4.csv,INFEASIBLE,,0.0611,,,,
20j_5m,instance_5.csv,OPTIMAL,7858,0.1364,0.00,7858.0,7858.0,5 3 12 8 10 1 20 19 18 7 9 15 17 13 4 11 14 6 16 2
20j_5m,instance_6.csv,OPTIMAL,7386,0.3292,0.00,7386.0,7386.0,2 20 14 3 5 8 17 11 13 16 6 1 7 4 18 12 10 19 9 15
20j_5m,instance_7.csv,INFEASIBLE,,0.0468,,,,
20j_5m,instance_8.csv,INFEASIBLE,,0.0543,,,,
20j_5m,instance_9.csv,OPTIMAL,9041,0.2443,0.00,9041.0,9041.0,4 15 16 10 7 5 13 8 2 12 14 19 3 9 11 20 17 18 1 6
20j_5m,instance_1.csv,FEASIBLE,4955,184.6902,97.13,142.0,4955.0,3 13 9 17 8 14 15 12 6 19 18 7 1 16 5 4 2 10 20 11
20j_5m,instance_10.csv,UNKNOWN,,0.0971,,,,
20j_5m,instance_1.csv,UNKNOWN,,55.2587,,,,
20j_5m,instance_1.csv,UNKNOWN,,26.8879,,,,
20j_5m,instance_1.csv,FEASIBLE,4548,30.3392,96.88,142.0,4548.0,3 17 15 9 8 13 14 16 20 1 19 7 11 2 6 5 4 10 12 18
20j_5m,instance_10.csv,FEASIBLE,5199,3.2147,99.79,11.0,5199.0,11 7 5 15 1 12 19 18 17 14 8 4 16 10 9 20 13 6 2 3
20j_5m,instance_2.csv,UNKNOWN,,0.0938,,,,
20j_5m,instance_3.csv,UNKNOWN,,0.1298,,,,
20j_5m,instance_4.csv,UNKNOWN,,0.0682,,,,
20j_5m,instance_5.csv,UNKNOWN,,0.0738,,,,
20j_5m,instance_6.csv,UNKNOWN,,0.0894,,,,
20j_5m,instance_7.csv,FEASIBLE,7744,0.3948,99.99,1.0,7744.0,20 19 18 17 16 15 14 13 12 10 11 9 8 7 6 5 4 3 2 1
20j_5m,instance_8.csv,FEASIBLE,8128,0.4261,100.00,0.0,8128.0,17 1 20 16 11 3 14 13 8 19 18 15 12 10 9 7 6 5 4 2
20j_5m,instance_9.csv,UNKNOWN,,0.0687,,,,
20j_5m,instance_1.csv,FEASIBLE,4363,600.2876,92.34,334.0,4363.0,3 17 9 15 8 13 12 19 14 1 16 6 2 7 11 4 10 5 18 20
20j_5m,instance_10.csv,FEASIBLE,4006,11.9224,97.73,91.0,4006.0,11 7 16 5 15 12 9 18 17 19 10 20 14 13 1 2 6 3 4 8
20j_5m,instance_1.csv,FEASIBLE,4455,127.1636,95.13,217.0,4455.0,3 17 9 15 8 13 12 11 14 1 19 6 7 20 16 4 2 10 5 18
20j_5m,instance_10.csv,FEASIBLE,4097,2.3058,99.73,11.0,4097.0,11 7 16 5 15 12 9 18 17 19 10 14 8 4 20 13 1 2 6 3
20j_5m,instance_2.csv,UNKNOWN,,0.1599,,,,
20j_5m,instance_1.csv,FEASIBLE,4363,2832.8153,90.51,414.0,4363.0,3 17 9 15 8 13 12 19 14 1 16 6 2 7 11 4 10 5 18 20
20j_5m,instance_10.csv,UNKNOWN,,0.0841,,,,
20j_5m,instance_2.csv,UNKNOWN,,0.1321,,,,
20j_5m,instance_3.csv,UNKNOWN,,0.0862,,,,
20j_5m,instance_4.csv,UNKNOWN,,0.0435,,,,
20j_5m,instance_5.csv,UNKNOWN,,0.0277,,,,
20j_5m,instance_1.csv,OPTIMAL,48,0.3621,0.00,48.0,48.0,1 3 8 9 13 17 16 4 6 7 2 11 14 15 12 5 10 19 18 20
20j_5m,instance_10.csv,OPTIMAL,0,0.0696,0.00,0.0,0.0,2 4 7 11 9 5 12 15 3 6 10 13 16 19 17 20 1 18 8 14
20j_5m,instance_2.csv,OPTIMAL,14,0.2220,0.00,14.0,14.0,1 2 4 6 10 14 20 3 18 19 5 7 9 12 15 17 16 8 11 13
20j_5m,instance_3.csv,OPTIMAL,361,17.3776,0.00,361.0,361.0,1 3 4 15 11 14 19 5 6 13 8 10 16 2 7 18 20 9 17 12
20j_5m,instance_4.csv,OPTIMAL,26,0.3063,0.00,26.0,26.0,1 2 3 4 9 13 18 8 16 14 6 5 7 10 11 12 17 20 15 19
20j_5m,instance_5.csv,OPTIMAL,36,0.2253,0.00,36.0,36.0,3 5 4 9 10 12 7 8 1 6 11 13 15 18 19 20 17 2 14 16
20j_5m,instance_6.csv,OPTIMAL,14,0.4311,0.00,14.0,14.0,1 2 6 11 14 20 17 13 5 3 4 7 8 16 9 10 12 18 15 19
20j_5m,instance_7.csv,OPTIMAL,37,0.5114,0.00,37.0,37.0,2 5 15 16 10 14 1 3 11 12 19 17 18 4 6 7 9 13 8 20
