Dataset,Instance,Status,TT,Temps (s),Gap (%),BestBound,Objective,Sequence
20j_5m,instance_10.csv,FEASIBLE,4017,0.4962,100.00,0.0,4017.0,11 7 16 5 15 12 9 18 17 19 10 14 20 13 1 2 6 3 4 8
20j_5m,instance_2.csv,UNKNOWN,,0.0793,,0.0,0.0,
20j_5m,instance_3.csv,UNKNOWN,,0.0466,,0.0,0.0,
20j_5m,instance_4.csv,UNKNOWN,,0.0355,,0.0,0.0,
20j_5m,instance_5.csv,UNKNOWN,,0.0421,,0.0,0.0,
20j_5m,instance_6.csv,FEASIBLE,4938,0.3028,100.00,0.0,4938.0,20 2 14 8 17 5 3 1 11 7 16 18 4 13 10 6 12 9 15 19
20j_5m,instance_7.csv,UNKNOWN,,0.0701,,0.0,0.0,
20j_5m,instance_8.csv,UNKNOWN,,0.0706,,0.0,0.0,
20j_5m,instance_9.csv,UNKNOWN,,0.0712,,0.0,0.0,
20j_5m,instance_1.csv,FEASIBLE,4794,210.0413,79.70,973.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,UNKNOWN,,0.0571,,0.0,0.0,
20j_5m,instance_2.csv,FEASIBLE,8152,0.1424,77.47,1837.0,8152.0,20 19 14 18 17 16 15 10 12 9 11 8 7 6 5 13 4 3 2 1
20j_5m,instance_3.csv,UNKNOWN,,0.0477,,0.0,0.0,
20j_5m,instance_4.csv,UNKNOWN,,0.0189,,0.0,0.0,
20j_5m,instance_5.csv,UNKNOWN,,0.0241,,0.0,0.0,
20j_5m,instance_6.csv,UNKNOWN,,0.0243,,0.0,0.0,
20j_5m,instance_7.csv,UNKNOWN,,0.0341,,0.0,0.0,
20j_5m,instance_8.csv,UNKNOWN,,0.0338,,0.0,0.0,
20j_5m,instance_9.csv,UNKNOWN,,0.0457,,0.0,0.0,
20j_5m,instance_1.csv,FEASIBLE,4794,26.9968,88.97,529.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,UNKNOWN,,0.0886,,725.0,81564.0,
20j_5m,instance_2.csv,UNKNOWN,,0.0817,,1837.0,88530.0,
20j_5m,instance_3.csv,UNKNOWN,,0.0414,,0.0,0.0,
20j_5m,instance_4.csv,UNKNOWN,,0.0436,,0.0,0.0,
20j_5m,instance_5.csv,UNKNOWN,,0.0313,,0.0,0.0,
20j_5m,instance_6.csv,UNKNOWN,,0.0425,,0.0,0.0,
20j_5m,instance_7.csv,UNKNOWN,,0.0644,,0.0,0.0,
20j_5m,instance_8.csv,UNKNOWN,,0.0587,,0.0,0.0,
20j_5m,instance_1.csv,FEASIBLE,4794,170.9330,84.00,767.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,FEASIBLE,6575,0.2073,88.97,725.0,6575.0,11 19 16 15 9 20 18 12 17 14 13 10 8 5 7 4 2 6 1 3
20j_5m,instance_2.csv,UNKNOWN,,0.0568,,0.0,0.0,
20j_5m,instance_3.csv,UNKNOWN,,0.0329,,0.0,0.0,
20j_5m,instance_4.csv,FEASIBLE,5581,5.1672,86.44,757.0,5581.0,18 13 9 16 14 4 20 17 12 19 15 8 6 11 10 7 3 2 1 5
20j_5m,instance_5.csv,UNKNOWN,,0.0403,,0.0,0.0,
20j_5m,instance_6.csv,UNKNOWN,,0.0297,,0.0,0.0,
20j_5m,instance_7.csv,UNKNOWN,,0.0242,,0.0,0.0,
20j_5m,instance_8.csv,UNKNOWN,,0.0208,,0.0,0.0,
20j_5m,instance_9.csv,UNKNOWN,,0.0075,,0.0,0.0,
20j_5m,instance_1.csv,FEASIBLE,6338,600.5273,,6338.0,6338,15 17 13 1 20 16 14 5 3 4 2 8 9 18 19 6 7 10 12 11
20j_5m,instance_1.csv,FEASIBLE,5019,600.5222,,5019.0,5019,9 15 17 3 13 20 16 14 6 19 1 18 7 8 12 11 2 4 10 5
20j_5m,instance_10.csv,UNKNOWN,,,,,,
20j_5m,instance_1.csv,OPTIMAL,4794,343.4256,0.00,4794.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,OPTIMAL,4304,66.2417,0.00,4304.0,4304.0,19 11 9 16 5 15 12 20 17 7 18 13 10 14 6 4 2 1 3 8
20j_5m,instance_2.csv,OPTIMAL,6115,394.6012,0.80,6066.0,6115.0,19 14 20 18 10 3 17 15 16 12 11 8 6 4 9 2 7 5 1 13
20j_5m,instance_3.csv,FEASIBLE,5443,161.0399,24.10,4131.0,5443.0,15 19 14 13 16 11 4 17 10 3 20 18 12 2 9 8 6 1 7 5
20j_5m,instance_1.csv,OPTIMAL,4794,493.4392,0.00,4794.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,FEASIBLE,4304,27.3412,22.00,3357.0,4304.0,19 11 9 16 5 15 12 20 17 7 18 13 10 14 6 4 2 1 3 8
20j_5m,instance_2.csv,FEASIBLE,8518,0.4639,68.76,2661.0,8518.0,19 18 17 14 16 20 15 10 13 12 11 8 9 6 4 3 2 7 5 1
20j_5m,instance_1.csv,FEASIBLE,4363,601.8067,25.28,3260.0,4363.0,3 17 9 15 8 13 12 19 14 1 16 6 2 7 11 4 10 5 18 20
20j_5m,instance_10.csv,FEASIBLE,4552,23.9692,43.15,2588.0,4552.0,5 10 16 9 18 12 19 15 20 11 7 17 2 1 3 14 13 6 4 8
20j_5m,instance_2.csv,FEASIBLE,7863,0.7609,56.03,3457.0,7863.0,19 14 20 3 18 16 4 1 2 5 9 8 7 6 10 11 12 13 15 17
