Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,650,510,877,227,1
2,494,474,783,289,1
3,586,1078,1450,864,1
4,302,89,290,0,0
5,440,181,449,9,1
6,688,733,1122,434,1
7,436,100,404,0,0
8,486,343,588,102,1
9,596,607,926,330,1
10,408,93,310,0,0
11,600,807,1160,560,1
12,526,410,685,159,1
13,474,245,510,36,1
14,544,547,887,343,1
15,388,0,194,0,0
16,404,132,420,16,1
17,632,964,1360,728,1
18,648,885,1282,634,1
19,572,966,1369,797,1
20,610,680,1043,433,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,5961,0.0240,0.00,5961.0,5961.0
