Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J6,624,10,0,312,0,0
J33,716,5,17,410,0,0
J42,792,2,33,543,0,0
J25,632,9,75,553,0,0
J31,806,9,77,639,0,0
J34,770,3,122,707,0,0
J23,848,10,218,724,0,0
J30,836,4,240,815,0,0
J44,920,9,297,871,0,0
J21,966,5,340,919,0,0
J49,1156,7,403,1054,0,0
J5,1314,7,436,1188,0,0
J41,1258,9,493,1220,0,0
J38,1354,7,545,1353,0,0
J22,1100,1,584,1362,262,1
J10,836,5,622,1552,716,1
J37,1258,9,669,1607,349,1
J17,1282,2,726,1704,422,1
J19,1226,6,800,1764,538,1
J28,1200,3,894,1814,614,1
J24,1322,6,988,1901,579,1
J14,1186,3,1064,1998,812,1
J29,978,7,1069,2034,1056,1
J18,1166,8,1146,2107,941,1
J32,1020,3,1242,2115,1095,1
J2,960,4,1300,2214,1254,1
J16,1154,5,1390,2267,1113,1
J13,1138,8,1397,2285,1147,1
J50,664,8,1399,2314,1650,1
J40,1122,4,1457,2399,1277,1
J3,1080,8,1492,2456,1376,1
J27,1078,10,1555,2522,1444,1
J26,1062,1,1626,2544,1482,1
J15,1068,6,1637,2658,1590,1
J11,1064,4,1712,2782,1718,1
J20,1030,2,1736,2821,1791,1
J35,1056,7,1780,2919,1863,1
J7,1042,3,1821,2951,1909,1
J4,1240,5,1850,2998,1758,1
J8,1036,7,1923,3075,2039,1
J47,1324,2,1939,3154,1830,1
J46,1026,5,2035,3209,2183,1
J9,990,8,2069,3237,2247,1
J43,934,10,2163,3275,2341,1
J45,920,10,2245,3315,2395,1
J12,874,8,2292,3330,2456,1
J39,900,2,2331,3421,2521,1
J36,866,5,2405,3489,2623,1
J48,818,4,2457,3576,2758,1
J1,770,7,2470,3643,2873,1

TT,TWT,T_max,NT,,,
55022,312691,2873,36,,,
