Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J24,682,6,0,341,0,0
J4,800,5,2,417,0,0
J28,792,3,32,450,0,0
J10,874,5,46,561,0,0
J12,684,8,51,575,0,0
J14,852,3,54,616,0,0
J49,612,7,88,661,49,1
J15,706,6,126,694,0,0
J8,654,7,207,723,69,1
J37,734,9,227,782,48,1
J39,718,2,320,802,84,1
J22,730,1,321,859,129,1
J16,690,5,340,955,265,1
J3,906,8,398,1025,119,1
J45,886,10,423,1103,217,1
J27,662,10,480,1119,457,1
J36,734,5,488,1171,437,1
J32,964,3,511,1215,251,1
J25,878,9,599,1261,383,1
J1,1058,7,600,1355,297,1
J19,778,6,666,1376,598,1
J46,860,5,723,1427,567,1
J5,988,7,746,1472,484,1
J26,912,1,763,1531,619,1
J7,1000,3,841,1534,534,1
J35,1008,7,858,1579,571,1
J11,866,4,901,1650,784,1
J23,982,10,961,1678,696,1
J31,886,9,1039,1731,845,1
J2,988,4,1089,1826,838,1
J17,990,2,1135,1843,853,1
J9,1024,8,1183,1937,913,1
J21,928,5,1256,1949,1021,1
J30,986,4,1264,1971,985,1
J6,1034,10,1362,2006,972,1
J33,1110,5,1402,2125,1015,1
J43,1276,10,1430,2218,942,1
J48,1050,4,1486,2249,1199,1
J34,1144,3,1574,2349,1205,1
J40,1160,4,1640,2417,1257,1
J18,924,8,1717,2512,1588,1
J29,1240,7,1788,2565,1325,1
J50,1222,8,1834,2574,1352,1
J44,1270,9,1906,2645,1375,1
J41,1110,9,1960,2750,1640,1
J13,1422,8,2014,2838,1416,1
J47,1294,2,2105,2925,1631,1
J38,1304,7,2123,2992,1688,1
J42,1402,2,2175,3070,1668,1
J20,1240,2,2220,3174,1934,1

TT,TWT,T_max,NT,,,
35320,205367,1934,43,,,
