subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,48749,269053,1907,42,224.615
50j_10m,instance_10.csv,51994,321390,1895,42,208.7833
50j_10m,instance_2.csv,43407,244308,1771,45,214.7783
50j_10m,instance_3.csv,43332,259053,1699,46,213.2116
50j_10m,instance_4.csv,43176,260173,1804,41,227.3172
50j_10m,instance_5.csv,43917,270072,1853,42,218.5374
50j_10m,instance_6.csv,50409,304695,1936,43,204.6321
50j_10m,instance_7.csv,48335,305591,1961,45,204.6603
50j_10m,instance_8.csv,47765,272598,1916,45,213.5776
50j_10m,instance_9.csv,46654,283132,1891,42,205.9569
