subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,41316,222381,1994,42,202.7377
50j_10m,instance_10.csv,41474,236317,1995,44,203.8336
50j_10m,instance_2.csv,38473,224634,1967,42,203.4558
50j_10m,instance_3.csv,35909,197039,1992,39,202.6061
50j_10m,instance_4.csv,40179,224987,2113,42,203.8896
50j_10m,instance_5.csv,40515,203585,2128,42,202.3644
50j_10m,instance_6.csv,40762,214408,2059,41,202.5412
50j_10m,instance_7.csv,42352,240218,2074,48,203.5398
50j_10m,instance_8.csv,41837,251822,2040,43,202.2757
50j_10m,instance_9.csv,41554,215895,1999,42,202.3791
