Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J35,782,7,0,391,0,0
J3,722,8,1,469,0,0
J22,726,1,19,487,0,0
J33,828,5,30,583,0,0
J28,834,3,48,669,0,0
J48,634,4,110,675,41,1
J46,742,5,186,707,0,0
J42,698,2,213,737,39,1
J47,912,2,238,768,0,0
J49,828,7,271,872,44,1
J17,938,2,283,916,0,0
J38,896,7,343,968,72,1
J23,840,10,365,1062,222,1
J31,956,9,377,1124,168,1
J45,968,10,444,1169,201,1
J44,880,9,513,1183,303,1
J9,952,8,564,1268,316,1
J27,1018,10,599,1274,256,1
J26,926,1,651,1352,426,1
J24,738,6,723,1374,636,1
J1,758,7,743,1380,622,1
J10,846,5,755,1496,650,1
J13,1014,8,788,1545,531,1
J18,978,8,882,1555,577,1
J14,882,3,890,1663,781,1
J4,1168,5,983,1734,566,1
J12,1110,8,1068,1837,727,1
J7,810,3,1087,1853,1043,1
J15,990,6,1100,1868,878,1
J43,1038,10,1164,1879,841,1
J11,844,4,1207,1963,1119,1
J50,852,8,1283,2058,1206,1
J40,1012,4,1302,2089,1077,1
J5,992,7,1361,2093,1101,1
J30,1004,4,1403,2138,1134,1
J32,1038,3,1470,2221,1183,1
J19,1232,6,1538,2303,1071,1
J36,1210,5,1604,2338,1128,1
J25,988,9,1696,2394,1406,1
J34,1120,3,1757,2488,1368,1
J2,1062,4,1767,2499,1437,1
J41,1096,9,1839,2566,1470,1
J21,1234,5,1918,2679,1445,1
J8,1334,7,1958,2742,1408,1
J6,1132,10,2040,2821,1689,1
J37,1100,9,2116,2874,1774,1
J29,1114,7,2182,2968,1854,1
J16,1282,5,2267,3032,1750,1
J20,1174,2,2349,3120,1946,1
J39,1240,2,2405,3207,1967,1

TT,TWT,T_max,NT,,,
38473,224634,1967,42,,,
