subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,47693,242514,2511,39,4.8497
50j_10m,instance_10.csv,48156,202506,2542,40,5.4612
50j_10m,instance_2.csv,47129,233608,2261,37,7.584
50j_10m,instance_3.csv,49578,277060,2468,36,6.6588
50j_10m,instance_4.csv,49493,248951,2382,39,5.708
50j_10m,instance_5.csv,50827,243351,2408,40,7.0587
50j_10m,instance_6.csv,51061,258824,2538,37,7.9904
50j_10m,instance_7.csv,51323,246115,2537,39,5.1428
50j_10m,instance_8.csv,48511,216475,2485,40,4.8459
50j_10m,instance_9.csv,49530,247415,2485,38,9.34
