subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,46377,247349,1978,43,7.0453
50j_10m,instance_10.csv,45623,271522,1925,43,8.3014
50j_10m,instance_2.csv,43165,197251,1918,42,10.9462
50j_10m,instance_3.csv,41435,250058,1804,41,8.3718
50j_10m,instance_4.csv,45555,256982,1940,42,9.9115
50j_10m,instance_5.csv,45570,253770,1969,41,6.4711
50j_10m,instance_6.csv,46534,243072,2015,42,7.3168
50j_10m,instance_7.csv,46253,254261,2023,43,8.5066
50j_10m,instance_8.csv,46613,220000,2053,45,7.093
50j_10m,instance_9.csv,47065,212032,2084,43,8.2669
