Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J33,716,5,0,358,0,0
J50,664,8,16,387,0,0
J25,632,9,74,461,0,0
J31,806,9,76,583,0,0
J6,624,10,121,637,13,1
J34,770,3,138,715,0,0
J1,770,7,234,789,19,1
J30,836,4,250,834,0,0
J26,1062,1,307,900,0,0
J3,1080,8,318,1028,0,0
J49,1156,7,381,1146,0,0
J17,1282,2,414,1258,0,0
J23,848,10,488,1275,427,1
J12,874,8,510,1329,455,1
J45,920,10,549,1369,449,1
J43,934,10,596,1418,484,1
J35,1056,7,678,1572,516,1
J29,978,7,719,1608,630,1
J36,866,5,796,1630,764,1
J44,920,9,848,1697,777,1
J21,966,5,891,1745,779,1
J48,818,4,954,1811,993,1
J9,990,8,967,1839,849,1
J27,1078,10,1061,1916,838,1
J2,960,4,1132,2034,1074,1
J46,1026,5,1222,2089,1063,1
J13,1138,8,1256,2107,969,1
J41,1258,9,1258,2171,913,1
J37,1258,9,1310,2226,968,1
J18,1166,8,1367,2299,1133,1
J8,1036,7,1463,2376,1340,1
J15,1068,6,1479,2413,1345,1
J5,1314,7,1554,2506,1192,1
J10,836,5,1611,2581,1745,1
J40,1122,4,1658,2663,1541,1
J42,792,2,1693,2683,1891,1
J38,1354,7,1735,2759,1405,1
J19,1226,6,1774,2819,1593,1
J4,1240,5,1868,2866,1626,1
J32,1020,3,1941,2874,1854,1
J11,1064,4,1999,2969,1905,1
J16,1154,5,2023,3022,1868,1
J24,1322,6,2030,3127,1805,1
J39,900,2,2106,3150,2250,1
J7,1042,3,2180,3202,2160,1
J28,1200,3,2209,3284,2084,1
J20,1030,2,2303,3323,2293,1
J14,1186,3,2347,3420,2234,1
J47,1324,2,2352,3499,2175,1
J22,1100,1,2448,3508,2408,1

TT,TWT,T_max,NT
50827,243351,2408,40

Metric,Value
Objective optimized,NT
Runtime (s),7.058720111846924
Iterations,5
k,4
Seed,42
