subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,42659,242158,2265,44,8.5845
50j_10m,instance_10.csv,44376,214721,2181,42,5.8643
50j_10m,instance_2.csv,39878,220083,1999,43,6.7166
50j_10m,instance_3.csv,37108,195670,1833,42,8.658
50j_10m,instance_4.csv,42054,216255,2112,41,8.2861
50j_10m,instance_5.csv,41584,246312,1936,41,8.8397
50j_10m,instance_6.csv,43218,241899,2127,44,6.7558
50j_10m,instance_7.csv,45178,242907,2118,41,10.3306
50j_10m,instance_8.csv,42865,236196,2025,45,5.7639
50j_10m,instance_9.csv,42954,223484,2028,44,9.5151
