subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,41020,249314,2126,41,39.3981
50j_10m,instance_10.csv,41521,227986,1991,43,49.0835
50j_10m,instance_2.csv,39238,235363,1998,44,42.4485
50j_10m,instance_3.csv,35885,202025,1971,42,38.8812
50j_10m,instance_4.csv,40586,232163,2113,43,50.6412
50j_10m,instance_5.csv,40393,233328,2049,41,54.4094
50j_10m,instance_6.csv,41202,233841,2143,42,47.4612
50j_10m,instance_7.csv,42256,250472,2074,47,45.371
50j_10m,instance_8.csv,42114,242913,2047,43,43.2948
50j_10m,instance_9.csv,41104,225914,1997,42,43.2001
