Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J33,358,5,0,179,0,0
J44,870,9,3,471,0,0
J31,934,9,8,520,0,0
J21,1028,5,37,640,0,0
J30,664,4,53,676,12,1
J25,644,9,95,700,56,1
J50,778,8,149,797,19,1
J45,718,10,248,847,129,1
J16,1150,5,272,963,0,0
J27,1038,10,329,999,0,0
J38,822,7,344,1041,219,1
J18,1140,8,414,1131,0,0
J29,638,7,421,1153,515,1
J23,1098,10,504,1240,142,1
J13,822,8,511,1245,423,1
J49,854,7,534,1256,402,1
J37,1016,9,599,1382,366,1
J9,904,8,671,1404,500,1
J41,1158,9,755,1445,287,1
J1,878,7,815,1544,666,1
J6,906,10,883,1575,669,1
J36,982,5,942,1609,627,1
J43,1090,10,966,1615,525,1
J35,1090,7,1026,1706,616,1
J19,954,6,1061,1721,767,1
J12,1074,8,1130,1827,753,1
J15,850,6,1220,1841,991,1
J10,916,5,1317,1926,1010,1
J8,1132,7,1360,2064,932,1
J5,862,7,1449,2098,1236,1
J46,1116,5,1536,2199,1083,1
J3,1424,8,1588,2334,910,1
J7,824,3,1631,2345,1521,1
J4,1212,5,1698,2428,1216,1
J24,1098,6,1770,2453,1355,1
J40,882,4,1844,2512,1630,1
J2,1106,4,1922,2583,1477,1
J47,866,2,1962,2590,1724,1
J28,928,3,2001,2646,1718,1
J34,1078,3,2086,2723,1645,1
J14,1128,3,2095,2828,1700,1
J32,1028,3,2115,2925,1897,1
J20,902,2,2179,2985,2083,1
J48,1174,4,2235,3049,1875,1
J11,1288,4,2249,3136,1848,1
J17,1258,2,2341,3171,1913,1
J42,970,2,2374,3214,2244,1
J39,1084,2,2385,3284,2200,1
J26,896,1,2432,3333,2437,1
J22,1034,1,2499,3481,2447,1

TT,TWT,T_max,NT
46785,190354,2447,43

Metric,Value
Objective optimized,TWT
Runtime (s),7.204137086868286
Iterations,10
k,4
Seed,42
