Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J37,1108,9,0,554,0,0
J2,930,4,28,588,0,0
J23,842,10,56,599,0,0
J27,696,10,100,694,0,0
J41,624,9,157,731,107,1
J17,750,2,186,741,0,0
J18,786,8,228,784,0,0
J42,1032,2,300,883,0,0
J6,678,10,305,886,208,1
J9,1084,8,360,1018,0,0
J45,1056,10,362,1043,0,0
J39,1298,2,435,1130,0,0
J47,1326,2,511,1293,0,0
J13,856,8,583,1351,495,1
J31,902,9,609,1403,501,1
J44,1034,9,700,1505,471,1
J3,1022,8,781,1571,549,1
J43,1172,10,844,1640,468,1
J49,954,7,921,1693,739,1
J16,1088,5,953,1773,685,1
J40,768,4,963,1826,1058,1
J12,1036,8,999,1834,798,1
J25,1140,9,1040,1843,703,1
J11,1062,4,1118,1913,851,1
J35,1108,7,1163,1982,874,1
J29,1114,7,1255,2040,926,1
J38,944,7,1318,2060,1116,1
J48,788,4,1404,2145,1357,1
J15,1014,6,1465,2163,1149,1
J21,820,5,1517,2254,1434,1
J36,810,5,1571,2291,1481,1
J33,750,5,1662,2358,1608,1
J46,904,5,1725,2422,1518,1
J26,632,1,1790,2438,1806,1
J8,1118,7,1797,2527,1409,1
J10,1082,5,1879,2589,1507,1
J1,1068,7,1924,2666,1598,1
J24,1174,6,1953,2693,1519,1
J19,1440,6,2002,2840,1400,1
J30,1056,4,2061,2865,1809,1
J5,1486,7,2134,2973,1487,1
J50,1344,8,2233,3030,1686,1
J4,1166,5,2294,3056,1890,1
J28,1082,3,2367,3150,2068,1
J7,1078,3,2377,3203,2125,1
J20,928,2,2456,3281,2353,1
J34,838,3,2501,3309,2471,1
J32,1056,3,2599,3449,2393,1
J22,948,1,2621,3485,2537,1
J14,1376,3,2692,3545,2169,1

TT,TWT,T_max,NT
51323,246115,2537,39

Metric,Value
Objective optimized,NT
Runtime (s),8.421602964401245
Iterations,10
k,4
Seed,42
