Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J24,682,6,0,341,0,0
J4,800,5,2,417,0,0
J28,792,3,32,450,0,0
J25,878,9,46,524,0,0
J16,690,5,47,588,0,0
J12,684,8,105,602,0,0
J27,662,10,108,645,0,0
J5,988,7,116,737,0,0
J8,654,7,133,759,105,1
J49,612,7,153,804,192,1
J15,706,6,191,808,102,1
J37,734,9,272,881,147,1
J10,874,5,365,932,58,1
J2,988,4,370,1033,45,1
J3,906,8,416,1100,194,1
J11,866,4,441,1156,290,1
J31,886,9,501,1205,319,1
J39,718,2,551,1222,504,1
J33,1110,5,552,1298,188,1
J23,982,10,580,1322,340,1
J35,1008,7,658,1367,359,1
J18,924,8,701,1462,538,1
J22,730,1,772,1473,743,1
J36,734,5,791,1525,791,1
J9,1024,8,814,1607,583,1
J19,778,6,887,1622,844,1
J46,860,5,944,1673,813,1
J45,886,10,967,1751,865,1
J1,1058,7,1024,1844,786,1
J32,964,3,1090,1888,924,1
J38,1304,7,1178,1954,650,1
J7,1000,3,1230,1957,957,1
J30,986,4,1247,2005,1019,1
J6,1034,10,1345,2036,1002,1
J47,1294,2,1385,2201,907,1
J40,1160,4,1403,2273,1113,1
J50,1222,8,1480,2333,1111,1
J14,852,3,1552,2374,1522,1
J21,928,5,1586,2386,1458,1
J26,912,1,1594,2445,1533,1
J20,1240,2,1672,2535,1295,1
J41,1110,9,1677,2634,1524,1
J29,1240,7,1731,2687,1447,1
J17,990,2,1777,2704,1714,1
J43,1276,10,1825,2791,1515,1
J48,1050,4,1881,2795,1745,1
J44,1270,9,1969,2855,1585,1
J34,1144,3,2023,2943,1799,1
J13,1422,8,2089,3042,1620,1
J42,1402,2,2180,3120,1718,1

TT,TWT,T_max,NT
36964,195758,1799,42

Metric,Value
Objective optimized,TT
Runtime (s),9.033847093582153
Iterations,10
k,4
Seed,42
