subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,47571,199251,2451,41,54.0148
50j_10m,instance_10.csv,46164,189609,2420,45,82.4595
50j_10m,instance_2.csv,42111,174072,2344,43,61.2589
50j_10m,instance_3.csv,40709,163847,2138,42,50.8051
50j_10m,instance_4.csv,48908,188014,2498,44,58.5111
50j_10m,instance_5.csv,43570,179502,2176,43,57.5406
50j_10m,instance_6.csv,44870,181545,2531,41,60.6213
50j_10m,instance_7.csv,47058,197324,2549,44,65.0839
50j_10m,instance_8.csv,48280,197766,2554,44,58.7169
50j_10m,instance_9.csv,45363,189506,2457,42,65.1197
