Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J35,782,7,0,391,0,0
J12,1110,8,1,605,0,0
J3,722,8,20,632,0,0
J22,726,1,38,650,0,0
J42,698,2,49,680,0,0
J24,738,6,74,702,0,0
J7,810,3,94,718,0,0
J46,742,5,107,750,8,1
J10,846,5,134,842,0,0
J26,926,1,167,920,0,0
J18,978,8,239,945,0,0
J30,1004,4,247,996,0,0
J41,1096,9,314,1088,0,0
J21,1234,5,393,1201,0,0
J8,1334,7,433,1308,0,0
J17,938,2,515,1352,414,1
J38,896,7,575,1422,526,1
J33,828,5,597,1518,690,1
J6,1132,10,615,1591,459,1
J37,1100,9,691,1641,541,1
J44,880,9,757,1655,775,1
J19,1232,6,808,1786,554,1
J39,1240,2,874,1848,608,1
J48,634,4,969,1854,1220,1
J28,834,3,1045,1975,1141,1
J1,758,7,1107,1981,1223,1
J27,1018,10,1119,1987,969,1
J49,828,7,1171,2095,1267,1
J43,1038,10,1183,2106,1068,1
J23,840,10,1226,2176,1336,1
J15,990,6,1238,2191,1201,1
J47,912,2,1302,2222,1310,1
J40,1012,4,1335,2260,1248,1
J45,968,10,1394,2305,1337,1
J29,1114,7,1463,2399,1285,1
J2,1062,4,1548,2410,1348,1
J14,882,3,1620,2486,1604,1
J32,1038,3,1713,2566,1528,1
J5,992,7,1781,2570,1578,1
J31,956,9,1823,2670,1714,1
J25,988,9,1890,2696,1708,1
J50,852,8,1951,2801,1949,1
J4,1168,5,1970,2872,1704,1
J36,1210,5,2055,2900,1690,1
J34,1120,3,2147,2994,1874,1
J13,1014,8,2157,3043,2029,1
J11,844,4,2251,3100,2256,1
J9,952,8,2327,3185,2233,1
J20,1174,2,2362,3265,2091,1
J16,1282,5,2418,3329,2047,1

TT,TWT,T_max,NT
46533,277973,2256,36

Metric,Value
Objective optimized,NT
Runtime (s),26.44322681427002
Iterations,10
d,25
Seed,42
