Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J20,638,2,0,319,0,0
J5,772,7,2,426,0,0
J22,978,1,9,549,0,0
J37,896,9,42,593,0,0
J13,846,8,75,651,0,0
J44,750,9,100,732,0,0
J11,1144,4,130,821,0,0
J31,956,9,202,897,0,0
J36,1048,5,204,915,0,0
J17,974,2,262,961,0,0
J23,1060,10,280,1106,46,1
J38,1148,7,304,1138,0,0
J47,1632,2,382,1325,0,0
J9,706,8,469,1331,625,1
J18,872,8,474,1357,485,1
J29,836,7,489,1431,595,1
J40,1042,4,584,1514,472,1
J10,790,5,637,1570,780,1
J1,1140,7,671,1645,505,1
J45,932,10,720,1658,726,1
J41,1122,9,734,1737,615,1
J8,936,7,772,1780,844,1
J6,1062,10,865,1823,761,1
J27,926,10,888,1841,915,1
J33,842,5,986,1869,1027,1
J46,844,5,1023,1983,1139,1
J14,1216,3,1076,2078,862,1
J25,1050,9,1107,2088,1038,1
J21,1116,5,1126,2194,1078,1
J4,1204,5,1181,2273,1069,1
J24,986,6,1266,2293,1307,1
J35,1204,7,1285,2377,1173,1
J28,980,3,1376,2430,1450,1
J26,1224,1,1425,2449,1225,1
J49,1056,7,1522,2452,1396,1
J3,942,8,1547,2523,1581,1
J50,1016,8,1577,2544,1528,1
J16,1042,5,1627,2614,1572,1
J12,1226,8,1696,2706,1480,1
J19,816,6,1774,2724,1908,1
J15,1340,6,1813,2784,1444,1
J34,964,3,1886,2859,1895,1
J32,1150,3,1959,2952,1802,1
J43,1326,10,2014,2953,1627,1
J42,746,2,2104,2966,2220,1
J7,850,3,2157,3005,2155,1
J48,1006,4,2213,3108,2102,1
J30,1052,4,2264,3177,2125,1
J39,972,2,2335,3294,2322,1
J2,1186,4,2395,3404,2218,1

TT,TWT,T_max,NT
48112,256558,2322,38

Metric,Value
Objective optimized,NT
Runtime (s),7.917164087295532
Iterations,10
k,4
Seed,42
