subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,48953,279044,2228,37,30.5657
50j_10m,instance_10.csv,49764,300985,2272,36,35.6702
50j_10m,instance_2.csv,46533,277973,2256,36,26.4432
50j_10m,instance_3.csv,48554,261286,2490,37,26.8269
50j_10m,instance_4.csv,49260,282518,2407,36,28.2719
50j_10m,instance_5.csv,43956,247006,2116,36,28.0645
50j_10m,instance_6.csv,47842,261290,2385,37,27.5767
50j_10m,instance_7.csv,56420,303315,2492,37,32.5745
50j_10m,instance_8.csv,51633,318849,2244,38,29.8228
50j_10m,instance_9.csv,49761,269492,2385,37,26.9613
