subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,4960,21758,790,13,0.0322
20j_5m,instance_10.csv,4818,20942,788,14,0.03
20j_5m,instance_2.csv,6341,29026,985,15,0.0321
20j_5m,instance_3.csv,6055,26975,866,17,0.0282
20j_5m,instance_4.csv,5985,24966,989,13,0.0302
20j_5m,instance_5.csv,4642,20482,744,14,0.0304
20j_5m,instance_6.csv,5413,24595,992,14,0.0284
20j_5m,instance_7.csv,5240,25083,824,14,0.0291
20j_5m,instance_8.csv,4940,21282,754,14,0.028
20j_5m,instance_9.csv,5947,25900,854,15,0.0283
