Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J13,382,8,0,191,0,0
J9,438,8,9,273,0,0
J18,310,8,51,291,0,0
J16,518,5,99,360,0,0
J14,480,3,128,396,0,0
J4,446,5,154,442,0,0
J6,484,10,216,478,0,0
J19,614,6,309,618,4,1
J8,546,7,366,667,121,1
J20,528,2,438,743,215,1
J17,568,2,533,824,256,1
J2,650,4,569,938,288,1
J12,614,8,588,1001,387,1
J3,586,8,667,1045,459,1
J15,646,6,766,1114,468,1
J11,636,4,838,1207,571,1
J10,662,5,877,1260,598,1
J1,730,7,942,1338,608,1
J5,768,7,995,1407,639,1
J7,666,3,1083,1505,839,1

TT,TWT,T_max,NT,,,
5453,29061,839,13,,,
