instance,n_jobs,n_machines,lb,ub,TT,total_ties,cpu_time_s,sequence
1,20,5,1232,1278,4671,12,0.036641,3 15 17 9 13 8 14 20 12 19 1 2 11 6 7 16 4 10 5 18
2,20,5,1290,1359,5975,3,0.029489,14 3 18 10 19 15 16 20 4 7 2 8 17 6 5 11 12 1 13 9
3,20,5,1073,1081,5769,6,0.030127,3 4 15 20 19 11 2 13 10 14 6 8 1 16 18 17 5 9 7 12
4,20,5,1268,1293,5640,4,0.030147,13 4 18 9 16 14 8 6 20 17 19 15 10 7 12 1 3 11 5 2
5,20,5,1198,1236,4615,3,0.035021,3 5 12 8 10 1 20 15 19 7 18 4 13 9 17 16 11 14 6 2
6,20,5,1180,1195,4938,2,0.035899,20 2 14 8 17 5 3 1 11 7 16 18 4 13 10 6 12 9 15 19
7,20,5,1226,1239,4469,6,0.03495,10 13 1 16 14 2 15 17 18 7 4 20 19 5 12 9 8 11 3 6
8,20,5,1170,1206,4166,6,0.035533,12 6 17 1 2 3 9 11 10 14 4 7 15 16 13 5 20 18 19 8
9,20,5,1206,1230,5145,6,0.031694,4 16 2 10 15 7 3 20 14 9 5 13 8 12 17 11 1 19 6 18
10,20,5,1082,1108,4450,8,0.03455,7 11 5 9 12 15 16 17 19 18 20 13 8 4 10 14 1 2 3 6
