instance,n_jobs,n_machines,lb,ub,TT,cpu_time_s,sequence
1,50,10,2907,3025,43549,0.565574,42 14 44 33 20 18 30 24 31 29 27 37 39 26 1 48 22 19 32 49 36 46 21 35 6 17 7 8 10 43 28 12 47 13 40 41 23 2 34 25 11 45 16 50 4 38 3 5 9 15
2,50,10,2821,2892,40618,0.687397,35 50 42 3 14 22 48 28 46 1 24 11 33 7 17 49 23 31 38 44 10 18 45 13 36 32 2 15 47 9 5 30 26 4 19 43 41 27 40 8 25 34 29 6 37 20 16 21 39 12
3,50,10,2801,2864,39906,0.598002,24 4 27 49 19 46 16 12 8 15 3 37 11 39 22 36 31 14 18 23 1 17 2 5 32 30 26 7 9 40 10 28 25 6 35 33 43 21 41 29 45 48 50 44 34 20 13 47 38 42
4,50,10,2968,3064,42146,0.662037,20 5 10 46 42 44 19 9 29 34 13 7 40 33 39 22 31 18 27 16 28 8 37 48 11 17 45 50 41 3 23 30 1 25 12 21 2 24 36 15 49 32 4 38 35 43 6 14 26 47
5,50,10,2908,2986,40971,0.548483,6 10 25 31 1 33 11 50 34 48 36 42 23 7 21 29 44 30 45 12 15 14 43 35 39 9 46 38 40 20 26 32 18 27 8 28 2 13 3 49 24 5 16 19 17 4 37 47 41 22
6,50,10,2941,3006,43086,0.549644,3 42 24 45 28 23 38 5 11 39 44 35 15 7 21 41 31 37 49 19 12 32 33 20 40 27 6 22 34 17 47 26 25 14 10 50 4 43 30 9 8 2 13 16 46 1 18 48 29 36
7,50,10,3062,3107,45470,0.551146,9 48 26 27 6 33 32 17 41 40 18 1 23 21 13 42 22 31 46 36 44 20 34 2 37 49 3 7 29 11 35 16 38 30 15 12 8 28 10 43 25 19 4 24 45 50 39 5 47 14
8,50,10,2959,3039,44449,0.567622,21 26 28 13 17 32 15 31 41 39 11 40 34 43 29 20 36 5 9 1 44 4 25 48 6 22 7 14 38 8 27 30 35 12 2 24 47 19 49 45 33 37 23 42 3 46 16 10 50 18
9,50,10,2795,2902,44853,0.619264,33 45 30 44 47 10 25 50 36 29 13 18 1 6 38 21 46 15 27 26 31 7 49 32 20 9 40 23 37 39 5 22 16 17 34 28 42 35 19 12 14 24 2 8 11 48 41 4 43 3
10,50,10,3046,3091,44648,0.576185,49 6 21 27 41 14 15 19 4 9 2 38 10 37 1 20 42 45 12 23 39 22 13 28 8 44 16 24 29 40 48 33 43 3 36 30 17 34 47 5 7 50 46 32 25 31 11 18 26 35
