Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J33,358,5,0,179,0,0
J44,870,9,3,471,0,0
J21,1028,5,8,590,0,0
J45,718,10,24,633,0,0
J48,1174,4,48,727,0,0
J6,906,10,62,758,0,0
J37,1016,9,121,819,0,0
J1,878,7,193,872,0,0
J42,970,2,261,944,0,0
J22,1034,1,272,1004,0,0
J16,1150,5,313,1147,0,0
J11,1288,4,370,1229,0,0
J27,1038,10,462,1265,227,1
J35,1090,7,477,1305,215,1
J31,934,9,512,1356,422,1
J49,854,7,541,1366,512,1
J19,954,6,606,1418,464,1
J25,644,9,675,1472,828,1
J38,822,7,729,1522,700,1
J43,1090,10,799,1528,438,1
J12,1074,8,859,1651,577,1
J23,1098,10,949,1800,702,1
J9,904,8,956,1822,918,1
J13,822,8,1040,1827,1005,1
J24,1098,6,1063,1862,764,1
J46,1116,5,1137,1981,865,1
J18,1140,8,1189,2087,947,1
J15,850,6,1196,2090,1240,1
J40,882,4,1293,2149,1267,1
J28,928,3,1371,2193,1265,1
J8,1132,7,1456,2255,1123,1
J4,1212,5,1545,2361,1149,1
J47,866,2,1617,2372,1506,1
J5,862,7,1656,2428,1566,1
J17,1258,2,1743,2495,1237,1
J41,1158,9,1776,2574,1416,1
J36,982,5,1836,2610,1628,1
J50,778,8,1860,2706,1928,1
J34,1078,3,1959,2715,1637,1
J2,1106,4,1968,2800,1694,1
J10,916,5,2008,2807,1891,1
J29,638,7,2051,2829,2191,1
J30,664,4,2134,2894,2230,1
J14,1128,3,2176,2956,1828,1
J39,1084,2,2196,3053,1969,1
J32,1028,3,2243,3150,2122,1
J20,902,2,2307,3210,2308,1
J3,1424,8,2363,3288,1864,1
J26,896,1,2406,3298,2402,1
J7,824,3,2473,3309,2485,1

TT,TWT,T_max,NT
49530,247415,2485,38

Metric,Value
Objective optimized,NT
Runtime (s),6.1804869174957275
Iterations,5
k,4
Seed,42
