Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,11,1.0753,11,40.1797,11,0.0554
2,12,0.9976,12,40.1254,13,0.0535
3,12,1.1433,12,40.1921,12,0.0503
4,12,1.0465,11,40.2132,12,0.0535
5,11,1.0019,10,40.1932,11,0.057
6,11,0.9649,10,40.1014,11,0.0523
7,11,1.1006,10,40.1896,11,0.054
8,10,1.1995,10,40.15,10,0.053
9,12,1.064,12,40.1896,13,0.0584
10,11,1.0203,11,40.1366,11,0.0583
