Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,691,0.9064,691,40.1503,691,0.0501
2,671,1.0734,670,40.3497,699,0.0456
3,617,1.0335,601,40.1123,655,0.0425
4,650,1.2144,650,40.1709,651,0.0393
5,655,0.8055,655,40.1127,655,0.0482
6,579,1.069,576,40.3154,601,0.0452
7,552,1.0283,527,40.2076,552,0.0522
8,563,1.1412,563,40.4029,649,0.043
9,643,1.4394,639,40.3233,649,0.0405
10,585,1.2068,585,40.2377,597,0.0469
