Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,4570,0.7765,4401,40.5471,4671,0.0446
2,5780,0.9381,5334,40.1828,5975,0.0415
3,5094,0.6515,4592,40.7119,5769,0.0427
4,5316,0.8527,4837,40.4459,5640,0.0421
5,4618,0.7768,4239,40.3456,4615,0.0465
6,3593,0.8545,3524,40.5174,4938,0.0475
7,4567,0.8975,4277,40.2825,4469,0.044
8,4097,0.8613,4072,40.1697,4166,0.0509
9,4808,0.7187,4559,40.3495,5145,0.0415
10,4084,0.8121,3898,40.2691,4450,0.0468
