Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,4474,1.4385,4401,40.5211,4671,0.0446
2,5707,1.1247,5334,40.2168,5975,0.0415
3,4848,1.1954,4592,40.5422,5769,0.0427
4,5052,1.2812,4837,40.4824,5640,0.0421
5,4370,0.9369,4239,40.6411,4615,0.0465
6,3645,1.3078,3524,40.6339,4938,0.0475
7,4215,1.0896,4277,40.171,4469,0.044
8,4155,1.3538,4072,40.2631,4166,0.0509
9,4643,1.5553,4559,40.6174,5145,0.0415
10,4113,1.0052,3898,40.1938,4450,0.0468
