Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,19650,1.3093,23728,40.1537,20314,0.0483
2,25238,1.213,35350,40.134,26983,0.0391
3,23403,1.5573,27172,40.1489,27728,0.0415
4,24966,1.3354,32607,40.1563,25431,0.0447
5,18557,1.287,23769,40.138,20258,0.0481
6,18351,1.2027,22421,40.1516,24595,0.0474
7,22531,1.5889,27611,40.1731,25933,0.0518
8,20854,1.111,23719,40.1404,21669,0.0471
9,24014,1.5008,29564,40.1247,26387,0.0416
10,18361,1.5252,21791,40.1244,21041,0.0479
