subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,53817,312322,2082,45,0.6378
50j_10m,instance_10.csv,51994,321390,1895,42,0.7248
50j_10m,instance_2.csv,49410,281757,1892,41,0.7297
50j_10m,instance_3.csv,44274,250624,1894,42,0.6673
50j_10m,instance_4.csv,49024,280336,1879,42,0.675
50j_10m,instance_5.csv,50140,287185,2050,43,0.6866
50j_10m,instance_6.csv,52415,315870,1994,42,0.6414
50j_10m,instance_7.csv,50857,289508,2125,43,0.6729
50j_10m,instance_8.csv,52867,282885,2018,42,0.6321
50j_10m,instance_9.csv,55602,316319,2047,43,0.6473
