subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,65228,343652,3011,38,0.6704
50j_10m,instance_10.csv,62445,346793,3010,36,0.7267
50j_10m,instance_2.csv,56544,344948,2975,35,0.7691
50j_10m,instance_3.csv,59495,340604,3012,35,0.6602
50j_10m,instance_4.csv,62401,386190,3092,36,0.6477
50j_10m,instance_5.csv,62666,345898,3236,37,0.6212
50j_10m,instance_6.csv,59812,313038,2860,37,0.665
50j_10m,instance_7.csv,62420,352704,3039,36,0.6991
50j_10m,instance_8.csv,61192,369463,2929,37,0.7368
50j_10m,instance_9.csv,63343,356290,2911,39,0.6668
