Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J9,1050,8,0,525,0,0
J42,874,2,28,603,0,0
J40,888,4,56,686,0,0
J5,810,7,102,759,0,0
J24,794,6,133,839,45,1
J48,1288,4,159,887,0,0
J22,1192,1,185,917,0,0
J1,1138,7,223,1035,0,0
J14,1210,3,288,1152,0,0
J10,1040,5,359,1249,209,1
J20,962,2,404,1254,292,1
J23,740,10,469,1267,527,1
J3,724,8,523,1374,650,1
J25,1056,9,533,1428,372,1
J47,1044,2,573,1486,442,1
J29,1286,7,647,1582,296,1
J6,1152,10,687,1640,488,1
J11,880,4,739,1707,827,1
J44,820,9,763,1732,912,1
J15,840,6,797,1794,954,1
J39,970,2,867,1882,912,1
J27,972,10,875,1930,958,1
J45,686,10,934,1942,1256,1
J33,952,5,952,1945,993,1
J28,838,3,999,2017,1179,1
J35,886,7,1037,2045,1159,1
J38,848,7,1111,2141,1293,1
J41,862,9,1168,2165,1303,1
J31,880,9,1195,2214,1334,1
J37,892,9,1259,2265,1373,1
J26,910,1,1338,2361,1451,1
J34,944,3,1413,2406,1462,1
J16,930,5,1475,2415,1485,1
J2,1288,4,1477,2514,1226,1
J46,1300,5,1481,2599,1299,1
J32,940,3,1544,2691,1751,1
J12,898,8,1628,2692,1794,1
J19,922,6,1696,2726,1804,1
J18,1142,8,1793,2732,1590,1
J7,904,3,1878,2733,1829,1
J21,984,5,1913,2792,1808,1
J17,1004,2,1977,2880,1876,1
J49,1006,7,2060,2917,1911,1
J30,1252,4,2088,3008,1756,1
J43,1136,10,2177,3029,1893,1
J4,1096,5,2239,3030,1934,1
J50,1124,8,2326,3033,1909,1
J8,1170,7,2404,3097,1927,1
J13,1280,8,2493,3222,1942,1
J36,1376,5,2587,3370,1994,1

TT,TWT,T_max,NT,,,
52415,315870,1994,42,,,
