instance,n_jobs,n_machines,lb,ub,TT,total_ties,cpu_time_s,sequence
1,20,5,1232,1278,4401,0,40.466132,9 15 3 17 14 8 19 13 16 6 7 1 2 4 10 20 12 11 5 18
2,20,5,1290,1359,5334,0,40.129316,15 14 3 10 17 20 12 2 16 11 8 19 4 18 6 5 7 9 1 13
3,20,5,1073,1081,4592,0,40.359404,3 15 14 13 16 19 11 10 20 5 6 8 4 18 7 17 9 2 1 12
4,20,5,1268,1293,4837,0,40.422568,13 16 14 9 18 17 4 8 11 7 20 2 12 6 19 15 10 1 5 3
5,20,5,1198,1236,4239,0,40.289293,3 12 5 10 9 1 19 18 4 20 17 15 16 11 8 7 13 6 14 2
6,20,5,1180,1195,3524,0,40.418053,14 2 20 11 13 5 3 8 17 6 7 16 18 1 9 12 19 4 15 10
7,20,5,1226,1239,4277,0,40.118726,5 10 14 16 17 13 1 18 7 4 2 15 12 20 19 11 8 3 6 9
8,20,5,1170,1206,4072,0,40.294938,12 2 6 1 17 3 9 11 10 14 5 20 4 15 16 18 19 7 13 8
9,20,5,1206,1230,4559,0,40.281731,4 10 2 8 16 7 3 5 15 20 17 14 13 11 1 19 9 12 6 18
10,20,5,1082,1108,3898,0,40.137931,11 7 16 5 12 15 9 1 19 20 17 6 10 14 13 18 2 8 3 4
