Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J16,438,5,0,219,0,0
J3,380,8,5,303,0,0
J15,276,6,14,310,34,1
J6,452,10,52,343,0,0
J4,322,5,131,389,67,1
J19,412,6,188,421,9,1
J11,446,4,210,466,20,1
J1,448,7,235,549,101,1
J18,584,8,312,622,38,1
J12,720,8,341,724,4,1
J13,304,8,380,766,462,1
J5,632,7,456,811,179,1
J2,322,4,485,824,502,1
J9,524,8,579,857,333,1
J8,426,7,644,899,473,1
J10,356,5,717,970,614,1
J14,432,3,803,1069,637,1
J20,542,2,827,1158,616,1
J7,688,3,854,1245,557,1
J17,506,2,909,1253,747,1

TT,TWT,T_max,NT
5393,24026,747,17

Metric,Value
Objective optimized,TWT
Runtime (s),0.7657742500305176
Iterations,10
k,4
Seed,42
